NAME                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O
movary                  0.02%     93.79MiB / 7.749GiB   61.1MB / 364kB    645MB / 33.3MB
sshwifty                0.00%     12.11MiB / 7.749GiB   57.6MB / 0B       15MB / 1.52MB
whatsupdocker           2.05%     110.1MiB / 7.749GiB   5.21GB / 1.2GB    132MB / 850MB
cadvisor                18.33%    385.4MiB / 7.749GiB   717MB / 51.6GB    379MB / 14.6MB
tdarr                   1.00%     1.402GiB / 2.441GiB   1.21GB / 1.46GB   45.2GB / 4.73GB
registry_mirror         0.00%     19.45MiB / 7.749GiB   2.2GB / 1.78GB    553MB / 1.08GB
container-web-tty       1.30%     16.34MiB / 7.749GiB   69.6MB / 1.03GB   53.4MB / 741kB
hastebin                0.00%     18.89MiB / 7.749GiB   57.6MB / 0B       23.4MB / 9.89MB
logerr                  0.00%     832KiB / 7.749GiB     57.6MB / 0B       2.26MB / 3.44MB
drone                   0.00%     23.31MiB / 7.749GiB   118MB / 79.7MB    308MB / 179MB
sabnzbd_exporter        0.01%     17MiB / 7.749GiB      4.03GB / 410MB    17.3MB / 4.17MB
vaultwarden             0.00%     20.71MiB / 7.749GiB   60.7MB / 4.89MB   132MB / 1.75MB
flame                   0.00%     62.57MiB / 7.749GiB   82.9MB / 25MB     192MB / 31MB
ddns-updater            0.01%     9.57MiB / 7.749GiB    65.5MB / 36.1MB   46.8MB / 250kB
upsnap                  0.31%     28.07MiB / 7.749GiB   0B / 0B           160MB / 11.3MB
mediainfo               0.01%     34.76MiB / 7.749GiB   57.6MB / 0B       99.5MB / 19.3MB
sponsorblockcast        0.50%     17.44MiB / 7.749GiB   0B / 0B           141MB / 8.17MB
registry-ui             0.00%     9.164MiB / 7.749GiB   95.8MB / 59.9MB   5.58MB / 2.57MB
drone-gc                0.00%     7.305MiB / 7.749GiB   57.6MB / 0B       18.2MB / 53.2kB
apt-cacher-ng           0.00%     26.21MiB / 7.749GiB   640MB / 770MB     260MB / 578MB
homebox                 0.00%     16.84MiB / 7.749GiB   96.3MB / 38.9MB   138MB / 4.54MB
mealie_old              0.27%     170.8MiB / 7.749GiB   57.8MB / 214kB    510MB / 114MB
wikijs                  0.01%     116.2MiB / 7.749GiB   108MB / 85MB      158MB / 27.1MB
renderer                0.00%     52.61MiB / 7.749GiB   57.9MB / 428kB    57.2MB / 14.9MB
dash                    1.35%     66.91MiB / 7.749GiB   9.6GB / 1.76GB    598MB / 30.7MB
iotop                   0.00%     2.863MiB / 7.749GiB   0B / 0B           2.11MB / 0B
uptime-kuma             0.33%     285.5MiB / 7.749GiB   19.5GB / 922MB    2.19GB / 32GB
openspeedtest           0.00%     13.77MiB / 7.749GiB   150MB / 92.8MB    2.14MB / 2.69MB
gptwol                  0.01%     23.91MiB / 7.749GiB   0B / 0B           336MB / 5.08MB
discount-bandit         0.00%     119.1MiB / 7.749GiB   152MB / 62.1MB    860MB / 92.8MB
navidrome               0.02%     418.5MiB / 7.749GiB   89.7MB / 1.24GB   5.64GB / 551MB
homebridge              0.47%     216MiB / 7.749GiB     0B / 0B           838MB / 40.7MB
mediatracker            0.00%     84.02MiB / 7.749GiB   385MB / 51.4MB    475MB / 1.22GB
tailon                  0.00%     12.21MiB / 7.749GiB   57.6MB / 0B       23.6MB / 942kB
gotify                  0.00%     22.86MiB / 7.749GiB   85.7MB / 73MB     254MB / 105MB
dozzle                  0.00%     16.12MiB / 7.749GiB   67.8MB / 91MB     10.2MB / 90.1kB
glances                 2.87%     351.7MiB / 7.749GiB   66.7MB / 14.6MB   29.7MB / 9.63MB
prom-plex-exporter      0.02%     10.14MiB / 7.749GiB   1.76GB / 234MB    21.3MB / 160kB
mysql                   0.43%     149.8MiB / 7.749GiB   59.1MB / 1.47MB   45.5MB / 258MB
watchyourlan            0.01%     20.08MiB / 7.749GiB   0B / 0B           89.1MB / 9.68GB
plugsy                  0.03%     82.53MiB / 7.749GiB   22.4GB / 7.65GB   171MB / 66.8MB
filebrowser             0.00%     8.562MiB / 7.749GiB   154MB / 419MB     38.5MB / 53.2kB
gaps                    0.11%     459.3MiB / 7.749GiB   78.1MB / 186MB    235MB / 162MB
ara-api                 0.01%     115.3MiB / 7.749GiB   57.6MB / 2.66kB   81.7MB / 88.6MB
monocker                0.00%     54.75MiB / 7.749GiB   69.9MB / 4.9MB    131MB / 26.5MB
ttyd                    0.00%     14.15MiB / 7.749GiB   86.1MB / 176kB    25.5MB / 78.9MB
portainer               0.01%     25.89MiB / 7.749GiB   70.7MB / 254MB    360MB / 1.01GB
psitransfer             0.00%     37.33MiB / 7.749GiB   86.5MB / 29.7MB   102MB / 4.19MB
argus                   0.00%     32.67MiB / 7.749GiB   279MB / 17.7MB    67.7MB / 348kB
mysql-workbench         0.03%     78.51MiB / 7.749GiB   57.6MB / 0B       220MB / 74.7MB
mysql-discount-bandit   0.42%     174.1MiB / 7.749GiB   118MB / 92.5MB    135MB / 2.39GB
hueplex                 0.00%     45.63MiB / 7.749GiB   62MB / 43.3kB     68.6MB / 40.5MB
whisparr                0.15%     323.1MiB / 7.749GiB   698GB / 93.3GB    66.2GB / 11.3GB
ytdl_material           0.49%     122.3MiB / 7.749GiB   698GB / 93.3GB    327MB / 43.6MB
tubesync                0.34%     178.1MiB / 7.749GiB   698GB / 93.3GB    41.6MB / 51.5MB
openbooks               0.00%     7.824MiB / 7.749GiB   698GB / 93.3GB    52.6MB / 9.59MB
ombi                    0.06%     356.6MiB / 500MiB     698GB / 93.3GB    740MB / 890MB
registry                0.00%     81.58MiB / 7.749GiB   19.3GB / 13.2GB   2.11GB / 19.2GB
jdownloader-2           2.05%     898.5MiB / 7.749GiB   698GB / 93.3GB    339MB / 175MB
wireguard-pia           0.00%     4.727MiB / 7.749GiB   698GB / 93.3GB    10.8MB / 262kB

